ID, STATION,RIDES,COMMENT,WIDTH,HEIGHT
1,14 St-Union Square   ,20986,The cool place to hang out for any high-schooler,84,398
2,59 St Columbus Circle,17596,???,100,324
3,DeKalb Av,14272,Fort Green Park is the perfect place to chill out,99,498
4,Atlantic Av-Barclays Ctr        ,14062,A massive transit station in Brooklyn and the Atlantic Mall,107,513
5,33 St-Rawson St       ,13573,Near LaGuardia Community College,185,377
6,Flushing-Main St             ,13447,Suburbians catch their first 7th train at this station,357,347
7,66 St Lincoln Center   ,13192,???,99,310
8,Essex St-Delancey St        ,13126,The other cool place to hang out for any high-schooler,89,435
9,8 Av-14 St,12792,???,64,387
10,Jay St MetroTech,11719,Fulton Street Mall nearby with its discount stores,90,490
11,161ST STREET-YANKEE STADIUM   ,11503,,,
12,149TH STREET & 3RD AVENUE     ,11248,,,
13,CHAMBERS STREET               ,10797,,,
14,50TH STREET-8TH AVENUE        ,10275,,,
15,UTICA AVENUE                  ,9691,,,
16,BROOKLYN BRIDGE               ,9570,,,
17,149TH ST-GRAND CONCOURSE      ,9445,,,
18,116TH STREET-LEXINGTON AVE    ,9127,,,
19,BOROUGH HALL - COURT STREET   ,8949,,,
20,96TH STREET-BROADWAY          ,8876,,,
21,96TH STREET-LEXINGTON AVE     ,8760,,,
22,72ND STREET & BROADWAY        ,8720,,,
23,1ST AVENUE-14TH STREET        ,8617,,,
24,103RD STREET-LEXINGTON AVE    ,8546,,,
25,ROOSEVELT AVE/JACKSON HTS     ,8477,,,
26,MOSHOLU PARKWAY-JEROME AVE    ,8428,,,
27,AVENUE M-EAST 16TH STREET     ,8308,,,
28,125TH STREET                  ,8200,,,
29,137TH STREET-BROADWAY         ,8118,,,
30,125TH STREET-LEXINGTON AVE    ,8104,,,
31,EUCLID AVE-PITKIN AVE         ,8095,,,
32,WOODHAVEN BLVD-QUEENS BLVD    ,8004,,,
33,BEDFORD PARK BLVD-JEROME AV   ,7979,,,
34,FRANKLIN AVE/EASTERN PKWY     ,7860,,,
35,GRAND ST-BUSHWICK AVE         ,7857,,,
36,168TH STREET & BROADWAY       ,7843,,,
37,86TH STREET-LEXINGTON AVE     ,7702,,,
38,68TH STREET-HUNTER COLLEGE    ,7580,,,
39,CHURCH AVENUE                 ,7567,,,
40,145TH STREET                  ,7501,,,
41,MYRTLE AVE-GATES AVENUE       ,7454,,,
42,KINGSBRIDGE RD-JEROME AVE     ,7393,,,
43,UTICA AVE-STUYVESANT AVE      ,7345,,,
44,GRAND ST-CHRISTIE ST          ,7324,,,
45,JUNCTION BLVD-ROOSEVELT AVE   ,7136,,,
46,GUNHILL RD-WHITE PLAINS RD    ,7107,,,
47,191ST STREET-ST NICHOLAS AV   ,6991,,,
48,PARK PLACE                    ,6967,,,
49,JAMAICA CENTER-PARSONS BLVD   ,6844,,,
50,135TH STREET-LENOX AVENUE     ,6714,,,
51,103RD ST-ROOSEVELT AVE        ,6709,,,
52,FULTON STREET-LAFAYETTE AV    ,6635,,,
53,EAST BROADWAY-MADISON ST      ,6300,,,
54,20TH AVENUE-62ND STREET       ,6211,,,
55,KINGS HIGHWAY-EAST 16TH ST    ,6166,,,
56,42ND STREET/TIMES SQUARE      ,6129,,,
57,110TH STREET-LEXINGTON AVE    ,6066,,,
58,77TH STREET-LEXINGTON AVE     ,6035,,,
59,PROSPECT AVENUE-WESTCHESTER   ,6030,,,
60,STILLWELL AVE-CONEY ISLAND    ,6023,,,
61,59TH STREET-4TH AVENUE        ,5936,,,
62,23RD STREET & 8TH AVENUE      ,5925,,,
63,67TH AVENUE-QUEENS BLVD       ,5918,,,
64,WESTCHESTER SQUARE            ,5857,,,
65,177TH STREET-PARKCHESTER      ,5854,,,
66,90TH STREET/ELMHURST AVENUE   ,5826,,,
67,40TH STREET-LOWERY STREET     ,5729,,,
68,170TH STREET-JEROME AVENUE    ,5713,,,
69,FLATBUSH AVE & NOSTRAND AV    ,5690,,,
70,GRAND AVE-QUEENS BOULEVARD    ,5659,,,
71,ROCKAWAY PKWY-GLENWOOD RD     ,5575,,,
72,BRIGHTON BEACH-CONEY ISLAND   ,5543,,,
73,71ST AVE-CONTINENTAL AVE      ,5528,,,
74,7TH AVENUE-9TH STREET         ,5509,,,
75,BOWLING GREEN & BATTERY PL    ,5486,,,
76,86TH STREET-BROADWAY          ,5461,,,
77,59TH STREET & LEXINGTON AVE   ,5440,,,
78,225TH ST-WHITE PLAINS ROAD    ,5373,,,
79,NOSTRAND AVE-FULTON ST        ,5353,,,
80,167TH STREET-RIVER AVENUE     ,5342,,,
81,23RD STREET-PARK AVE SOUTH    ,5340,,,
82,STEINWAY ST-BROADWAY          ,5250,,,
83,QUEENSBORO PLAZA              ,5244,,,
84,50TH STREET & 7TH AVENUE      ,5207,,,
85,BURNSIDE AVE-JEROME AVE       ,5199,,,
86,82ND STREET-JACKSON HEIGHTS   ,5164,,,
87,PELHAM PKWY-WHITE PLAINS RD   ,5152,,,
88,8TH AVENUE-62ND STREET        ,5140,,,
89,SHEEPSHEAD BAY ROAD           ,5124,,,
90,QUEENS PLAZA-JACKSON AVE      ,5099,,,
91,33RD STREET-PARK AVENUE       ,5057,,,
92,135TH STREET-ST NICHOLAS AV   ,5044,,,
93,FORDHAM ROAD & JEROME AVE     ,5022,,,
94,116TH STREET-LENOX AVENUE     ,4994,,,
95,61ST STREET-ROOSEVELT AVE     ,4985,,,
96,COURT SQ-23 ST                ,4978,,,
97,BAYCHESTER AVE-TILLOTSON      ,4962,,,
98,BEDFORD AVE-NORTH 7TH ST      ,4953,,,
99,ELDER AVE-WESTCHESTER AVE     ,4950,,,
100,46TH STREET-BROADWAY          ,4923,,,
101,BROADWAY & 31ST STREET        ,4902,,,
102,BOTANIC GARDEN-FRANKLIN AVE   ,4844,,,
103,79TH STREET-17TH AVENUE       ,4807,,,
104,CHURCH AVENUE & NOSTRAND AV   ,4780,,,
105,75TH STREET & ELDERTS LANE    ,4778,,,
106,SUTTER AVE-VAN SINDEREN AVE   ,4729,,,
107,BERGEN STREET-SMITH STREET    ,4688,,,
108,103RD STREET-BROADWAY         ,4655,,,
